State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Workers,Male_Workers,Female_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Television,Ownership_Owned_Households,Ownership_Rented_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Total_Power_Parity
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,699926,689994,809085,468785,340300,258608,164271,654766,387974,266792,1218024,161770,4081,296,85,2898,223166,2135,15263,272968,64681,337649,222140,357098,127605,113028,72243,43967,10431,946512,472182,1418694,855430,330393,202984,113995,212484,41112,8663,19194,27857,28367,131395,49603,53425,75020,25124,73097,175862,36424,11419,14711,2468,824,32399,1889
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,905085,900684,1149649,638668,510981,265294,22402,871408,575203,296205,1712695,77801,8506,322,299,3607,391033,3367,20265,458867,103435,562302,145178,309476,226552,308624,157839,102838,19987,1270494,504734,1775228,902307,527236,375100,236020,370797,47339,18494,41173,59667,72440,281659,131996,77223,72273,12979,57395,297441,56457,9232,10999,1467,300,61681,2628
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,1511600,1489527,1962180,1063766,898414,536643,334547,1314268,921803,392465,2631985,290549,39361,1255,16194,14419,640868,28397,80086,540596,380386,920982,207091,537686,404565,452412,222230,212541,26834,2063359,747237,2810596,1580116,865220,553705,441131,529209,139947,27738,67567,95305,118632,457208,215723,122853,113521,22388,66647,498019,82418,13731,16156,2041,384,91829,4995
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,964511,964301,979769,577213,402556,400933,367071,903413,530373,373040,1634062,272022,10394,538,2265,4156,314547,5200,33903,330446,125402,455848,147743,385673,163709,153346,82082,50463,14622,997638,783126,1780764,1196670,465173,265810,162411,300223,48296,11501,27037,38538,39557,178262,67172,71533,109289,33248,130909,245971,52518,14498,18639,3022,1119,42209,2672
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,877415,875338,1263016,674938,588078,308158,65412,780598,534487,246111,1479424,234664,26521,400,120,9234,363835,8791,35207,352444,201662,554106,191641,385978,292481,251095,132138,111753,18036,1383122,355222,1738344,913150,513297,325542,259899,315329,77868,14967,37377,52344,65181,269559,124966,79412,67079,13157,52450,292771,45042,7655,9248,1284,309,55078,3119
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,1350594,1328386,1813391,1006024,807367,506901,209559,1354646,837512,517134,2413812,245923,9130,477,187,5067,562769,7971,41751,685443,204799,890242,270373,500593,386998,423738,213588,143735,30687,1969712,686274,2655986,1351461,760936,564196,321848,532693,93096,32503,67398,99901,109455,407282,183042,114785,110970,18241,122399,441261,86767,13095,15383,1881,407,92983,4067
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,562131,615230,926429,465704,460725,75429,52897,513241,335399,177842,1009179,96740,65838,232,161,4534,224814,9070,24817,269817,115572,385389,142493,286193,176260,178094,109663,107279,18444,1018426,204028,1222454,559565,340903,276234,173033,220662,21037,11115,23243,34358,34943,136103,58352,42808,53755,22097,27194,156127,28839,7088,9418,1764,566,51929,2100
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,1013142,1114647,1852797,890552,962245,201211,6574,804471,536738,267733,1460447,224545,435056,268,146,74,507913,28842,71593,331419,392117,723536,133039,334339,418953,573306,274789,198858,58096,1991380,163991,2155371,891512,648522,585591,425707,496464,24772,20266,60721,80987,102594,368315,168549,97172,70844,8129,59658,367040,76254,8258,8908,607,43,76073,3368
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,1619557,1662831,2855676,1425723,1429953,268411,16559,1249343,913249,336094,1509557,514397,1248137,860,614,1176,771287,88737,184167,369694,804997,1174691,212263,446380,554817,702511,389793,429880,113133,2848777,268315,3117092,1396968,1024720,858010,696129,689970,88824,23843,85162,109005,149988,568385,270983,147414,103994,10353,38103,580054,112488,11394,12193,738,61,87002,6274
Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,552808,556166,923010,471881,451129,145486,55815,516363,331710,184653,541854,82206,481507,100,189,44,244844,8250,24863,391610,20823,412433,79149,166604,209398,261237,136428,86136,19252,958204,126589,1084793,494456,352163,261471,207519,222531,26014,10608,32718,43326,47205,192158,90960,53993,38760,2732,75292,204760,36686,2817,2977,143,17,32553,1374
